中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟
141.147.69.198,443,2a0b:21c0:100a:1b2:0:e89c:9c60:cdfa,DE,Frankfurt,隧道,377 ms
146.56.166.114,443,2602:ffe4:407:21d9:0:559a:3014:2270,SG,Singapore,隧道,240 ms
141.147.14.105,443,2606:f240:f00:eaf1:0:3544:67bb:dc,US,Frankfurt,隧道,370 ms
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,226 ms
141.147.98.4,443,2606:f240:f00:6acf:0:6bbc:39db:3f62,US,Frankfurt,隧道,249 ms
130.162.226.129,443,163.123.193.6,DE,Frankfurt,隧道,298 ms
150.230.114.147,443,2606:f240:f00:6acf:0:98b9:455c:46fd,US,Frankfurt,隧道,247 ms
144.21.48.212,443,2606:f240:f00:a683:0:b4de:b85e:69f5,US,Frankfurt,隧道,361 ms
130.162.60.11,443,2a0b:21c0:1007:1cb:0:aa50:e1c7:7882,DE,Frankfurt,隧道,283 ms
129.159.197.95,443,2606:f240:f00:b2ed:0:c503:8430:683d,US,Frankfurt,隧道,252 ms
130.162.128.245,443,2602:ffe4:407:20da:0:ce61:c14:227,SG,Singapore,隧道,380 ms
143.47.237.217,443,2a0b:21c0:1007:1c8:0:8a46:bcbc:240d,DE,Frankfurt,隧道,252 ms
131.186.42.153,443,2602:ffe4:407:20da:0:4010:9fd3:5c1b,SG,Singapore,隧道,266 ms
152.69.228.180,443,2602:ffe4:407:20d9:0:4ee2:a44d:294e,SG,Singapore,隧道,150 ms
158.101.208.175,443,2a0b:21c0:1007:1c8:0:8618:976c:52c3,DE,Frankfurt,隧道,251 ms
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,374 ms
143.47.234.97,443,2a0b:21c0:1007:c9:0:bb0e:5456:2486,DE,Frankfurt,隧道,253 ms
141.147.103.107,443,2606:f240:f00:46c4:0:9612:5bb:8a6a,US,Frankfurt,隧道,252 ms
130.162.171.192,443,2a0b:21c0:1007:c8:0:a214:a6dc:2727,DE,Frankfurt,隧道,380 ms
132.145.254.48,443,2a0b:21c0:1007:1c9:0:581d:6fde:f6ac,DE,Frankfurt,隧道,256 ms
158.180.43.141,443,2a0b:21c0:100a:1b6:0:e538:27e3:2515,DE,Frankfurt,隧道,259 ms
138.2.226.15,443,192.9.138.11,US,San Jose,隧道,217 ms
146.56.157.119,443,2602:ffe4:407:20d9:0:c821:9e41:93af,SG,Singapore,隧道,378 ms
84.8.159.220,443,2a0b:21c0:100a:1fa:0:5d8a:1e17:e3ef,DE,Frankfurt,隧道,259 ms
130.61.193.148,443,2a0b:21c0:100a:1b7:0:10a9:e8d6:feec,DE,Frankfurt,隧道,307 ms
131.186.63.4,443,2602:ffe4:407:20da:0:489d:fddf:8178,SG,Singapore,隧道,134 ms
158.178.155.46,443,2606:f240:f00:5a42:0:dd2c:fc0d:bcb7,US,Frankfurt,隧道,371 ms
144.21.40.32,443,2a0b:21c0:100a:1b2:0:6f99:8857:ed5b,DE,Frankfurt,隧道,267 ms
129.154.48.212,443,2602:ffe4:407:20d9:0:1d46:593b:96cc,SG,Singapore,隧道,162 ms
130.162.166.173,443,2a0b:21c0:100a:1f9:0:f35c:4828:ee95,DE,Frankfurt,隧道,294 ms
152.70.60.29,443,2606:f240:f00:b2ed:0:3434:6cd3:9e30,US,Frankfurt,隧道,250 ms
130.162.255.158,443,2a0b:21c0:100a:1b0:0:71d0:d80b:8f97,DE,Frankfurt,隧道,245 ms
158.179.185.3,443,2602:ffe4:407:21d9:0:e064:4cd0:7e6f,SG,Singapore,隧道,153 ms
138.3.222.135,443,138.3.222.135,JP,Tokyo,中转,244 ms
138.2.18.184,443,138.2.18.184,JP,Tokyo,中转,255 ms
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,243 ms
144.24.243.207,443,144.24.243.207,CH,Milan,中转,385 ms
141.147.87.252,443,98.98.166.174,AE,Frankfurt,隧道,248 ms
141.147.61.231,443,2a0b:21c0:1007:1c8:0:1702:ffe8:5d37,DE,Frankfurt,隧道,262 ms
130.162.185.9,443,2606:f240:f00:a683:0:9cc3:d3b7:95e3,US,Frankfurt,隧道,262 ms
150.230.123.143,443,2a0b:21c0:1007:1cb:0:fa12:894:472e,DE,Frankfurt,隧道,267 ms
130.162.237.219,443,2a0b:21c0:100a:1f9:0:b3c7:734f:453c,DE,Frankfurt,隧道,255 ms
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,249 ms
140.238.120.211,443,2a0b:21c0:1007:ca:0:cce5:8f7d:8887,DE,Frankfurt,隧道,256 ms
158.101.213.78,443,163.123.193.8,DE,Frankfurt,隧道,341 ms
140.238.121.164,443,98.98.156.22,AE,Frankfurt,隧道,299 ms
152.70.234.188,443,152.70.234.188,KR,Tokyo,中转,83 ms
158.180.90.122,443,2602:ffe4:407:20da:0:bd78:45c6:6fc7,SG,Singapore,隧道,157 ms
89.168.84.104,443,163.123.193.23,DE,Frankfurt,隧道,246 ms
129.159.47.255,443,129.159.47.255,US,San Jose,中转,228 ms
152.67.231.219,443,152.67.231.219,US,San Jose,中转,236 ms
144.21.57.128,443,163.123.193.4,DE,Frankfurt,隧道,375 ms
143.47.255.255,443,2a0b:21c0:1007:c7:0:70d9:3c44:b2a7,DE,Frankfurt,隧道,258 ms
141.147.46.144,443,2606:f240:f00:5a42:0:4e70:f717:9bf7,US,Frankfurt,隧道,344 ms
152.67.216.78,443,2602:ffe4:407:20d9:0:c5f6:35e4:90aa,SG,Singapore,隧道,157 ms
138.3.212.219,443,2602:ffe4:407:21d9:0:b4c1:6a5a:a938,SG,Singapore,隧道,143 ms
150.230.216.94,443,2602:ffe4:407:20da:0:4494:439c:c1f3,SG,Singapore,隧道,154 ms
130.61.239.203,443,130.61.239.203,DE,Frankfurt,中转,256 ms
129.146.84.236,443,2603:c020:1:f7ee:c1c2:dd13:5e25:4f26,US,Los Angeles,隧道,214 ms
158.101.213.195,443,2a0b:21c0:1007:1c9:0:3714:5dd5:e96b,DE,Frankfurt,隧道,357 ms
140.238.94.142,443,2a0b:21c0:100a:1b6:0:cdf6:9ee8:380f,DE,Frankfurt,隧道,262 ms
141.147.34.139,443,2a0b:21c0:1007:cb:0:19e1:72c0:5cfc,DE,Frankfurt,隧道,246 ms
141.147.2.184,443,2a0b:21c0:1007:cb:0:c8f6:66e3:550,DE,Frankfurt,隧道,387 ms
84.8.148.69,443,2a0b:21c0:100a:1b3:0:3fe5:cd73:f878,DE,Frankfurt,隧道,252 ms
141.144.201.223,443,2a0b:21c0:100a:1f9:0:c650:4963:e6a1,DE,Frankfurt,隧道,249 ms
84.8.157.152,443,2606:f240:f00:6acf:0:1d9b:5a5f:c77a,US,Frankfurt,隧道,257 ms
144.21.37.130,443,2a0b:21c0:100a:1b7:0:91ef:b23c:e634,DE,Frankfurt,隧道,258 ms
141.148.244.111,443,2606:f240:f00:b2ed:0:d083:e71b:8d56,US,Frankfurt,隧道,249 ms
158.178.146.139,443,2a0b:21c0:100a:1fa:0:661c:1c9d:1e99,DE,Frankfurt,隧道,249 ms
143.47.254.135,443,98.98.166.178,AE,Frankfurt,隧道,256 ms
158.101.223.41,443,2606:f240:f00:46c4:0:b543:5c91:705e,US,Frankfurt,隧道,381 ms
155.248.202.141,443,155.248.202.141,US,San Jose,中转,210 ms
138.2.131.212,443,2606:f240:f00:eaf1:0:5def:af7d:4c16,US,Frankfurt,隧道,374 ms
89.168.99.116,443,2a0b:21c0:100a:1b0:0:635:5b04:a980,DE,Frankfurt,隧道,385 ms
158.180.68.56,443,158.180.68.56,KR,Seoul,中转,268 ms
132.145.15.145,443,2606:f240:f00:83a7:0:50b2:3fee:a048,US,Frankfurt,隧道,252 ms
138.3.241.144,443,2a0b:21c0:1007:1c7:0:dd20:a66d:7ad1,DE,Frankfurt,隧道,251 ms
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,243 ms
141.148.235.227,443,2606:f240:f00:b2ed:0:6381:8111:7053,US,Frankfurt,隧道,256 ms
141.144.207.58,443,98.98.166.194,AE,Frankfurt,隧道,217 ms
138.3.240.249,443,2a0b:21c0:1007:c7:0:90dd:a27d:5ab,DE,Frankfurt,隧道,256 ms
130.162.132.49,443,2602:ffe4:407:20d9:0:d4e7:462:18f1,SG,Singapore,隧道,245 ms
138.2.75.36,443,138.2.75.36,SG,Singapore,中转,249 ms
193.122.105.238,443,2602:ffe4:407:20da:0:2d96:1e8:5070,SG,Singapore,隧道,244 ms
130.61.97.144,443,2a0b:21c0:100a:1b2:0:8fe1:4c3c:2396,DE,Frankfurt,隧道,270 ms
141.148.239.12,443,2606:f240:f00:6acf:0:d0e8:7440:63c2,US,Frankfurt,隧道,255 ms
158.180.231.216,443,2603:c027:1:5610:e035:d6ae:8635:ee8d,IT,Marseille,隧道,275 ms
193.123.62.48,443,2a0b:21c0:1007:1c7:0:7b90:fe7d:4241,DE,Frankfurt,隧道,259 ms
141.144.207.99,443,2a0b:21c0:100a:1b4:0:3777:a931:9840,DE,Frankfurt,隧道,218 ms
141.147.59.141,443,2606:f240:f00:b2ed:0:d21d:320e:a925,US,Frankfurt,隧道,375 ms
138.2.99.97,443,138.2.99.97,SG,Singapore,中转,243 ms
129.151.205.193,443,129.151.205.193,SE,Stockholm,中转,354 ms
89.168.121.0,443,2a0b:21c0:100a:1b1:0:53d0:9c75:32d4,DE,Frankfurt,隧道,373 ms
144.21.54.22,443,2a0b:21c0:100a:1b0:0:978a:5601:d0c1,DE,Frankfurt,隧道,335 ms
158.180.35.112,443,2606:f240:f00:83a7:0:efa8:41e3:aada,US,Frankfurt,隧道,244 ms
130.162.182.193,443,2606:f240:f00:5a42:0:335c:cbce:1ff7,US,Frankfurt,隧道,250 ms
152.67.133.31,443,2a0b:21c0:100a:1fa:0:2c76:1377:3eb,DE,Frankfurt,隧道,259 ms
130.162.160.79,443,2a0b:21c0:100a:1fa:0:d78e:4318:6ba3,DE,Frankfurt,隧道,264 ms
130.162.154.21,443,2602:ffe4:407:21d9:0:1775:28b4:5cea,SG,Singapore,隧道,377 ms
141.148.240.99,443,2606:f240:f00:eaf1:0:1095:566d:af93,US,Frankfurt,隧道,246 ms
140.238.126.52,443,2606:f240:f00:2be4:0:46ff:983a:40e2,US,Frankfurt,隧道,377 ms
141.147.89.84,443,98.98.166.194,AE,Frankfurt,隧道,253 ms
141.144.205.37,443,2a0b:21c0:1007:c9:0:491:d114:f224,DE,Frankfurt,隧道,214 ms
152.70.249.67,443,2603:c022:8002:8700:556:6ae2:e4b0:4241,KR,Seoul,隧道,205 ms
84.235.170.159,443,98.98.166.182,AE,Frankfurt,隧道,251 ms
132.145.247.235,443,2a0b:21c0:1007:c9:0:53a4:7850:72a9,DE,Frankfurt,隧道,272 ms
138.2.162.103,443,2606:f240:f00:2be4:0:7912:c016:2cc4,US,Frankfurt,隧道,249 ms
146.56.157.246,443,104.28.249.212,KR,Tokyo,隧道,94 ms
150.230.119.188,443,2a0b:21c0:100a:1f9:0:bd3c:d1dc:34b6,DE,Frankfurt,隧道,298 ms
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,177 ms
141.144.200.176,443,2606:f240:f00:6acf:0:5393:b28:6099,US,Frankfurt,隧道,221 ms
84.8.148.237,443,2a0b:21c0:1007:c8:0:9717:e221:4768,DE,Frankfurt,隧道,263 ms
141.147.10.246,443,2a0b:21c0:1007:1cb:0:3809:ec32:ab01,DE,Frankfurt,隧道,262 ms
158.179.206.143,443,158.179.206.143,SE,Stockholm,中转,345 ms
213.35.115.68,443,213.35.115.68,SG,Singapore,中转,243 ms
158.180.60.24,443,98.98.166.170,AE,Frankfurt,隧道,357 ms
150.230.196.248,443,150.230.196.248,JP,Tokyo,中转,239 ms
152.67.131.91,443,2a0b:21c0:100a:1b3:0:fd06:819c:bb76,DE,Frankfurt,隧道,252 ms
158.101.214.45,443,2a0b:21c0:1007:c7:0:afda:3929:2e1e,DE,Frankfurt,隧道,269 ms
132.226.11.170,443,2602:ffe4:407:20da:0:b262:c8f2:a284,SG,Singapore,隧道,146 ms
89.168.75.49,443,2a0b:21c0:100a:1b3:0:e0e:66eb:a52a,DE,Frankfurt,隧道,243 ms
141.148.224.182,443,98.98.166.170,AE,Frankfurt,隧道,379 ms
144.21.51.56,443,2606:f240:f00:a683:0:a2a3:ec52:ee1f,US,Frankfurt,隧道,255 ms
141.148.234.166,443,2a0b:21c0:100a:1b7:0:5abf:a57e:bd44,DE,Frankfurt,隧道,262 ms
158.180.17.70,443,2a0b:21c0:100a:1f9:0:8185:1c81:ad0d,DE,Frankfurt,隧道,256 ms
152.70.246.100,443,128.14.110.206,US,Singapore,隧道,248 ms
152.70.48.141,443,98.98.166.182,AE,Frankfurt,隧道,258 ms
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,247 ms
138.2.112.216,443,2602:ffe4:407:20d9:0:bfe:6da0:2b6f,SG,Singapore,隧道,152 ms
141.144.233.227,443,98.98.166.198,AE,Frankfurt,隧道,248 ms
141.147.73.180,443,2a0b:21c0:100a:1b5:0:682:4d43:b61c,DE,Frankfurt,隧道,264 ms
131.186.62.248,443,131.186.62.248,JP,Tokyo,中转,230 ms
158.178.158.201,443,2a0b:21c0:1007:c7:0:a337:28b0:f18a,DE,Frankfurt,隧道,255 ms
84.8.154.1,443,2a0b:21c0:1007:1cb:0:524f:d061:324f,DE,Frankfurt,隧道,254 ms
152.70.52.123,443,2606:f240:f00:2be4:0:699b:4946:1a21,US,Frankfurt,隧道,252 ms
141.147.41.214,443,98.98.156.10,AE,Frankfurt,隧道,260 ms
141.148.225.185,443,2606:f240:f00:2be4:0:ccaf:a6dd:aa56,US,Frankfurt,隧道,297 ms
168.138.41.79,443,104.28.206.113,JP,Osaka,隧道,234 ms
131.186.34.184,443,2602:ffe4:407:21d9:0:3937:6bd3:c501,SG,Singapore,隧道,144 ms
141.144.196.26,443,98.98.166.186,AE,Frankfurt,隧道,222 ms
130.162.240.138,443,2a0b:21c0:1007:1c9:0:ca44:1c44:caaa,DE,Frankfurt,隧道,245 ms
143.47.180.47,443,2606:f240:f00:5a42:0:5157:594e:e213,US,Frankfurt,隧道,258 ms
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,261 ms
129.159.241.172,443,129.159.241.172,DE,Frankfurt,中转,388 ms
130.162.245.72,443,2a0b:21c0:100a:1b0:0:4fcd:7561:5aa6,DE,Frankfurt,隧道,259 ms
140.238.127.147,443,2a0b:21c0:100a:1b5:0:7769:6a33:5974,DE,Frankfurt,隧道,386 ms
144.24.183.136,443,98.98.156.6,AE,Frankfurt,隧道,270 ms
130.162.58.15,443,163.123.193.9,DE,Frankfurt,隧道,387 ms
158.178.156.171,443,98.98.156.22,AE,Frankfurt,隧道,256 ms
193.123.63.115,443,2a0b:21c0:100a:1fa:0:42fc:8a40:3e2e,DE,Frankfurt,隧道,281 ms
138.2.160.196,443,2a0b:21c0:1007:1ca:0:f2d2:7bdb:4b41,DE,Frankfurt,隧道,253 ms
141.147.102.46,443,2606:f240:f00:2be4:0:a376:a17d:b3cd,US,Frankfurt,隧道,369 ms
140.238.33.161,443,2603:c021:8002:900:4858:eede:fd8a:dd52,JP,Tokyo,隧道,238 ms
143.47.238.150,443,2a0b:21c0:1007:1cb:0:c3d1:2:66d,DE,Frankfurt,隧道,359 ms
140.83.37.223,443,2a09:bac5:442c:dc::16:1bd,JP,Tokyo,隧道,221 ms
146.56.187.121,443,128.14.104.155,US,Singapore,隧道,244 ms
158.179.169.162,443,2602:ffe4:407:21d9:0:1d94:268a:72c4,SG,Singapore,隧道,158 ms
141.148.225.142,443,141.148.225.142,NL,Amsterdam,中转,256 ms
143.47.248.200,443,2606:f240:f00:b2ed:0:e955:8341:ecd8,US,Frankfurt,隧道,363 ms
132.145.11.3,443,2a0b:21c0:1007:ca:0:c4b:bc59:dcb5,DE,Frankfurt,隧道,327 ms
141.144.193.209,443,2a0b:21c0:100a:1b4:0:9647:2454:354e,DE,Frankfurt,隧道,226 ms
152.69.229.43,443,2602:ffe4:407:21d9:0:e5ab:392b:41d0,SG,Singapore,隧道,148 ms
141.147.76.143,443,98.98.166.194,AE,Frankfurt,隧道,286 ms
141.147.61.165,443,163.123.193.10,DE,Frankfurt,隧道,261 ms
130.162.128.139,443,2602:ffe4:407:20d9:0:df37:eabb:50b2,SG,Singapore,隧道,380 ms
130.61.198.35,443,98.98.166.170,AE,Frankfurt,隧道,268 ms
131.186.43.121,443,2602:ffe4:407:21d9:0:1f54:81f6:9ba0,SG,Singapore,隧道,152 ms
141.147.12.216,443,163.123.193.9,DE,Frankfurt,隧道,377 ms
138.2.171.43,443,2606:f240:f00:b2ed:0:57f7:4bc6:c1da,US,Frankfurt,隧道,256 ms
158.101.164.251,443,158.101.164.251,DE,Frankfurt,中转,259 ms
158.101.213.98,443,2a0b:21c0:100a:1b6:0:679a:4a1c:2db5,DE,Frankfurt,隧道,342 ms
143.47.237.198,443,2606:f240:f00:5a42:0:6dad:e2a7:d132,US,Frankfurt,隧道,272 ms
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,224 ms
152.70.49.253,443,2a0b:21c0:1007:cb:0:9a25:4ca9:6b2a,DE,Frankfurt,隧道,257 ms
138.2.116.135,443,2602:ffe4:407:21d9:0:43a:6a09:83c,SG,Singapore,隧道,157 ms
158.101.83.18,443,2602:ffe4:407:20d9:0:e253:2d9b:fb12,SG,Singapore,隧道,141 ms
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,228 ms
130.162.228.21,443,98.98.166.194,AE,Frankfurt,隧道,245 ms
150.230.47.17,443,150.230.47.17,US,San Jose,中转,218 ms
192.9.172.26,443,192.9.172.26,AU,Sydney,中转,178 ms
193.123.235.59,443,193.123.235.59,KR,Hong Kong,中转,99 ms
144.21.52.242,443,2a0b:21c0:1007:1c8:0:9e97:8a62:6607,DE,Frankfurt,隧道,272 ms
158.179.172.95,443,158.179.172.95,KR,Seoul,中转,248 ms
193.122.61.167,443,193.122.61.167,DE,Frankfurt,中转,260 ms
152.70.117.136,443,152.70.117.136,US,San Jose,中转,208 ms
130.162.160.63,443,2a0b:21c0:100a:1b4:0:3388:10d6:49c0,DE,Frankfurt,隧道,261 ms
158.101.200.133,443,2a0b:21c0:100a:1f9:0:dca8:996:ede3,DE,Frankfurt,隧道,251 ms
132.226.1.227,443,2603:c021:8001:801:f494:88cb:3117:e10,JP,Tokyo,隧道,252 ms
143.47.242.95,443,98.98.156.34,AE,Frankfurt,隧道,261 ms
152.70.162.136,443,2a0b:21c0:1007:1c8:0:cc50:9a85:7fb5,DE,Frankfurt,隧道,262 ms
141.147.165.14,443,2602:ffe4:407:20d9:0:d8cf:5a1e:278,SG,Singapore,隧道,145 ms
141.147.17.223,443,2a0b:21c0:100a:1b1:0:c038:e18c:13b9,DE,Frankfurt,隧道,264 ms
141.144.207.32,443,98.98.156.30,AE,Frankfurt,隧道,221 ms
132.145.229.202,443,2606:f240:f00:b2ed:0:22b2:b818:6c3d,US,Frankfurt,隧道,250 ms
141.147.25.18,443,2a0b:21c0:1007:1cb:0:7388:11ac:f76,DE,Frankfurt,隧道,266 ms
141.147.67.59,443,2606:f240:f00:eaf1:0:d016:5108:1527,US,Frankfurt,隧道,255 ms
141.147.47.145,443,2a0b:21c0:100a:1b3:0:63f8:6882:65c9,DE,Frankfurt,隧道,248 ms
138.3.249.67,443,2a0b:21c0:1007:ca:0:62de:7ff8:4132,DE,Frankfurt,隧道,288 ms
130.162.220.188,443,2a0b:21c0:100a:1b7:0:5298:c769:9163,DE,Frankfurt,隧道,257 ms
138.2.144.78,443,98.98.156.34,AE,Frankfurt,隧道,252 ms
130.162.176.20,443,2606:f240:f00:6acf:0:bd6e:cce8:8a3d,US,Frankfurt,隧道,253 ms
141.144.240.210,443,2a0b:21c0:100a:1b6:0:b7c4:1cb5:e721,DE,Frankfurt,隧道,255 ms
151.145.70.243,443,151.145.70.243,JP,Tokyo,中转,231 ms
130.162.169.14,443,163.123.193.4,DE,Frankfurt,隧道,252 ms
141.147.93.159,443,2a0b:21c0:1007:1cb:0:33f2:7f5d:4b70,DE,Frankfurt,隧道,270 ms
64.110.88.46,443,64.110.88.46,KR,Seoul,中转,209 ms
193.122.12.116,443,2a0b:21c0:100a:1b0:0:bf40:2008:c8bd,DE,Frankfurt,隧道,245 ms
144.21.32.62,443,2a0b:21c0:100a:1b3:0:1273:5e64:cb02,DE,Frankfurt,隧道,370 ms
143.47.185.85,443,2606:f240:f00:dd8d:0:5b2a:d1b1:45c0,US,Frankfurt,隧道,255 ms
141.144.194.164,443,2a0b:21c0:100a:1b4:0:d463:efbb:eb37,DE,Frankfurt,隧道,233 ms
84.235.167.217,443,2606:f240:f00:5a42:0:6cc6:b89e:e413,US,Frankfurt,隧道,250 ms
130.162.187.77,443,163.123.193.5,DE,Frankfurt,隧道,245 ms
84.8.156.92,443,2a0b:21c0:1007:1ca:0:1ecf:9e73:80da,DE,Frankfurt,隧道,270 ms
143.47.250.54,443,2a0b:21c0:100a:1b2:0:1804:783c:d9aa,DE,Frankfurt,隧道,265 ms
141.147.116.2,443,2a0b:21c0:1007:1cb:0:8ee0:3a63:3b97,DE,Frankfurt,隧道,385 ms
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,257 ms
138.2.157.236,443,2603:c020:8000:3988:fde5:6ac8:8a74:5529,DE,Frankfurt,隧道,257 ms
141.144.198.218,443,2a0b:21c0:100a:1b1:0:d40b:6204:d9b2,DE,Frankfurt,隧道,352 ms
143.47.180.182,443,2606:f240:f00:46c4:0:b220:56aa:2e08,US,Frankfurt,隧道,273 ms
158.101.201.68,443,2a0b:21c0:100a:1b6:0:c9c2:7857:488d,DE,Frankfurt,隧道,377 ms
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,249 ms
89.168.121.215,443,163.123.193.6,DE,Frankfurt,隧道,369 ms
143.47.253.231,443,2606:f240:f00:2be4:0:ddcd:f993:9fb7,US,Frankfurt,隧道,384 ms
130.162.44.183,443,2a0b:21c0:1007:ca:0:7e14:f1b4:cb46,DE,Frankfurt,隧道,255 ms
84.235.168.246,443,2606:f240:f00:eaf1:0:19cf:113c:c45d,US,Frankfurt,隧道,265 ms
130.61.87.219,443,130.61.87.219,DE,Frankfurt,中转,247 ms
143.47.251.242,443,2a0b:21c0:100a:1b0:0:d46e:80c2:1320,DE,Frankfurt,隧道,264 ms
152.69.178.16,443,152.69.178.16,AU,Melbourne,中转,187 ms
143.47.229.170,443,2606:f240:f00:6acf:0:648d:b261:1e8c,US,Frankfurt,隧道,251 ms
143.47.191.106,443,2606:f240:f00:eaf1:0:54cd:f188:bad0,US,Frankfurt,隧道,249 ms
141.144.201.59,443,2606:f240:f00:2be4:0:a47f:661e:9085,US,Frankfurt,隧道,215 ms
155.248.171.163,443,2602:ffe4:407:20da:0:8a48:753:700f,SG,Singapore,隧道,145 ms
152.70.86.93,443,152.70.86.93,JP,Osaka,中转,238 ms
158.178.227.99,443,158.178.227.99,SG,Singapore,中转,238 ms
144.21.59.193,443,2a0b:21c0:100a:1fa:0:ba35:f513:e31c,DE,Frankfurt,隧道,377 ms
132.226.200.50,443,163.123.193.23,DE,Frankfurt,隧道,290 ms
130.162.36.165,443,2a0b:21c0:1007:1ca:0:53a6:e366:40ef,DE,Frankfurt,隧道,249 ms
141.147.113.98,443,2606:f240:f00:dd8d:0:7a8:c49a:2cad,US,Frankfurt,隧道,285 ms
141.144.193.81,443,98.98.156.34,AE,Frankfurt,隧道,260 ms
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,256 ms
143.47.180.46,443,2606:f240:f00:eaf1:0:40ff:44ed:1030,US,Frankfurt,隧道,250 ms
158.178.144.69,443,2606:f240:f00:b2ed:0:7f61:16a5:8fd7,US,Frankfurt,隧道,253 ms
152.67.149.16,443,163.123.193.23,DE,Frankfurt,隧道,298 ms
141.148.230.212,443,2a0b:21c0:100a:1fa:0:21fa:eafa:8420,DE,Frankfurt,隧道,281 ms
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,271 ms
217.142.131.0,443,2602:ffe4:407:20d9:0:e8b1:1ef3:f4c7,SG,Singapore,隧道,243 ms
132.145.152.194,443,132.145.152.194,US,Ashburn,中转,270 ms
168.138.201.0,443,168.138.201.0,JP,Tokyo,中转,247 ms
130.162.177.251,443,98.98.156.22,AE,Frankfurt,隧道,257 ms
138.3.222.33,443,138.3.222.33,JP,Tokyo,中转,231 ms
