中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟
193.123.253.75,443,128.14.104.155,US,Singapore,隧道,237 ms
144.24.170.227,443,2a0b:21c0:100a:1b2:0:1dc2:f32c:a68b,DE,Amsterdam,隧道,254 ms
141.148.230.79,443,2a0b:21c0:1007:1ca:0:ddc1:2064:8590,DE,Frankfurt,隧道,253 ms
129.154.201.185,443,128.14.110.204,US,Singapore,隧道,237 ms
130.61.193.196,443,2606:f240:f00:a683:0:3c8:5257:fab6,US,Frankfurt,隧道,371 ms
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,250 ms
131.186.28.236,443,131.186.28.236,KR,Tokyo,中转,218 ms
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,248 ms
84.8.159.13,443,2606:f240:f00:a683:0:c0d3:f783:8c98,US,Frankfurt,隧道,261 ms
146.56.147.2,443,2602:ffe4:407:21d9:0:1ce7:6ca9:b6d9,SG,Singapore,隧道,250 ms
146.56.44.122,443,2602:ffe4:407:20da:0:a1c1:93af:67e2,SG,Singapore,隧道,251 ms
130.162.189.141,443,2a0b:21c0:1007:1c7:0:d912:c034:3794,DE,Frankfurt,隧道,259 ms
144.21.55.5,443,2a0b:21c0:1007:1cb:0:a21a:f0a8:354c,DE,Frankfurt,隧道,361 ms
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,264 ms
193.123.35.208,443,2a0b:21c0:100a:1f9:0:8b0e:484a:541c,DE,Frankfurt,隧道,221 ms
158.178.154.175,443,2a0b:21c0:100a:1b2:0:f5bc:5c25:e351,DE,Frankfurt,隧道,385 ms
152.70.170.99,443,2606:f240:f00:6acf:0:d868:4cab:fc51,US,Frankfurt,隧道,250 ms
143.47.230.185,443,2606:f240:f00:b2ed:0:4c6f:d5ac:682,US,Frankfurt,隧道,388 ms
130.162.251.178,443,2a0b:21c0:1007:1c8:0:444a:70dd:655e,DE,Frankfurt,隧道,269 ms
141.147.64.198,443,98.98.156.22,AE,Frankfurt,隧道,374 ms
129.154.192.200,443,2602:ffe4:407:21d9:0:46c5:478d:1c66,SG,Singapore,隧道,229 ms
130.61.114.171,443,130.61.114.171,DE,Frankfurt,中转,259 ms
141.147.71.137,443,2606:f240:f00:6acf:0:2f61:f3b8:410e,US,Frankfurt,隧道,256 ms
150.230.112.25,443,163.123.193.8,DE,Frankfurt,隧道,246 ms
141.144.203.21,443,2a0b:21c0:100a:1b0:0:1aa5:5eb0:328b,DE,Frankfurt,隧道,221 ms
130.162.171.140,443,2a0b:21c0:100a:1b5:0:94d4:89be:e0c,DE,Frankfurt,隧道,377 ms
158.180.51.203,443,2a0b:21c0:100a:1b3:0:5359:3b06:7822,DE,Frankfurt,隧道,246 ms
141.147.80.176,443,2a0b:21c0:100a:1fa:0:746e:fcd3:95b6,DE,Frankfurt,隧道,269 ms
138.2.129.202,443,2a0b:21c0:1007:1ca:0:5505:30b9:3db4,DE,Frankfurt,隧道,256 ms
152.70.54.35,443,163.123.193.24,DE,Frankfurt,隧道,247 ms
132.145.241.98,443,2a0b:21c0:1007:1c8:0:586:c3bd:caf9,DE,Frankfurt,隧道,255 ms
193.123.69.77,443,193.123.69.77,AE,Paris,中转,411 ms
