中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
152.70.162.136,443,2a0b:21c0:1007:1c8:0:cc50:9a85:7fb5,DE,Frankfurt,隧道,262 ms,38 Mbps,4875 kB/s
141.147.165.14,443,2602:ffe4:407:20d9:0:d8cf:5a1e:278,SG,Singapore,隧道,145 ms,8 Mbps,1134 kB/s
141.147.17.223,443,2a0b:21c0:100a:1b1:0:c038:e18c:13b9,DE,Frankfurt,隧道,264 ms,9 Mbps,1210 kB/s
141.144.207.32,443,98.98.156.30,AE,Frankfurt,隧道,221 ms,37 Mbps,4840 kB/s
132.145.229.202,443,2606:f240:f00:b2ed:0:22b2:b818:6c3d,US,Frankfurt,隧道,250 ms,5 Mbps,683 kB/s
141.147.25.18,443,2a0b:21c0:1007:1cb:0:7388:11ac:f76,DE,Frankfurt,隧道,266 ms,12 Mbps,1661 kB/s
141.147.67.59,443,2606:f240:f00:eaf1:0:d016:5108:1527,US,Frankfurt,隧道,255 ms,11 Mbps,1430 kB/s
141.147.47.145,443,2a0b:21c0:100a:1b3:0:63f8:6882:65c9,DE,Frankfurt,隧道,248 ms,26 Mbps,3374 kB/s
138.3.249.67,443,2a0b:21c0:1007:ca:0:62de:7ff8:4132,DE,Frankfurt,隧道,288 ms,4 Mbps,556 kB/s
130.162.220.188,443,2a0b:21c0:100a:1b7:0:5298:c769:9163,DE,Frankfurt,隧道,257 ms,23 Mbps,3027 kB/s
138.2.144.78,443,98.98.156.34,AE,Frankfurt,隧道,252 ms,18 Mbps,2406 kB/s
130.162.176.20,443,2606:f240:f00:6acf:0:bd6e:cce8:8a3d,US,Frankfurt,隧道,253 ms,47 Mbps,6032 kB/s
141.144.240.210,443,2a0b:21c0:100a:1b6:0:b7c4:1cb5:e721,DE,Frankfurt,隧道,255 ms,23 Mbps,3049 kB/s
151.145.70.243,443,151.145.70.243,JP,Tokyo,中转,231 ms,31 Mbps,4019 kB/s
130.162.169.14,443,163.123.193.4,DE,Frankfurt,隧道,252 ms,18 Mbps,2381 kB/s
141.147.93.159,443,2a0b:21c0:1007:1cb:0:33f2:7f5d:4b70,DE,Frankfurt,隧道,270 ms,5 Mbps,656 kB/s
64.110.88.46,443,64.110.88.46,KR,Seoul,中转,209 ms,149 Mbps,19148 kB/s
193.122.12.116,443,2a0b:21c0:100a:1b0:0:bf40:2008:c8bd,DE,Frankfurt,隧道,245 ms,21 Mbps,2740 kB/s
144.21.32.62,443,2a0b:21c0:100a:1b3:0:1273:5e64:cb02,DE,Frankfurt,隧道,370 ms,11 Mbps,1469 kB/s
143.47.185.85,443,2606:f240:f00:dd8d:0:5b2a:d1b1:45c0,US,Frankfurt,隧道,255 ms,16 Mbps,2155 kB/s
141.144.194.164,443,2a0b:21c0:100a:1b4:0:d463:efbb:eb37,DE,Frankfurt,隧道,233 ms,5 Mbps,764 kB/s
84.235.167.217,443,2606:f240:f00:5a42:0:6cc6:b89e:e413,US,Frankfurt,隧道,250 ms,4 Mbps,559 kB/s
130.162.187.77,443,163.123.193.5,DE,Frankfurt,隧道,245 ms,7 Mbps,965 kB/s
84.8.156.92,443,2a0b:21c0:1007:1ca:0:1ecf:9e73:80da,DE,Frankfurt,隧道,270 ms,23 Mbps,2975 kB/s
143.47.250.54,443,2a0b:21c0:100a:1b2:0:1804:783c:d9aa,DE,Frankfurt,隧道,265 ms,23 Mbps,2957 kB/s
141.147.116.2,443,2a0b:21c0:1007:1cb:0:8ee0:3a63:3b97,DE,Frankfurt,隧道,385 ms,29 Mbps,3731 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,257 ms,24 Mbps,3129 kB/s
141.144.198.218,443,2a0b:21c0:100a:1b1:0:d40b:6204:d9b2,DE,Frankfurt,隧道,352 ms,44 Mbps,5736 kB/s
143.47.180.182,443,2606:f240:f00:46c4:0:b220:56aa:2e08,US,Frankfurt,隧道,273 ms,21 Mbps,2795 kB/s
158.101.201.68,443,2a0b:21c0:100a:1b6:0:c9c2:7857:488d,DE,Frankfurt,隧道,377 ms,18 Mbps,2373 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,249 ms,20 Mbps,2662 kB/s
89.168.121.215,443,163.123.193.6,DE,Frankfurt,隧道,369 ms,7 Mbps,982 kB/s
143.47.253.231,443,2606:f240:f00:2be4:0:ddcd:f993:9fb7,US,Frankfurt,隧道,384 ms,1 Mbps,169 kB/s
130.162.44.183,443,2a0b:21c0:1007:ca:0:7e14:f1b4:cb46,DE,Frankfurt,隧道,255 ms,16 Mbps,2106 kB/s
84.235.168.246,443,2606:f240:f00:eaf1:0:19cf:113c:c45d,US,Frankfurt,隧道,265 ms,10 Mbps,1286 kB/s
130.61.87.219,443,130.61.87.219,DE,Frankfurt,中转,247 ms,1 Mbps,199 kB/s
143.47.251.242,443,2a0b:21c0:100a:1b0:0:d46e:80c2:1320,DE,Frankfurt,隧道,264 ms,22 Mbps,2857 kB/s
152.69.178.16,443,152.69.178.16,AU,Melbourne,中转,187 ms,29 Mbps,3830 kB/s
143.47.229.170,443,2606:f240:f00:6acf:0:648d:b261:1e8c,US,Frankfurt,隧道,251 ms,24 Mbps,3092 kB/s
143.47.191.106,443,2606:f240:f00:eaf1:0:54cd:f188:bad0,US,Frankfurt,隧道,249 ms,38 Mbps,4917 kB/s
141.144.201.59,443,2606:f240:f00:2be4:0:a47f:661e:9085,US,Frankfurt,隧道,215 ms,67 Mbps,8597 kB/s
155.248.171.163,443,2602:ffe4:407:20da:0:8a48:753:700f,SG,Singapore,隧道,145 ms,67 Mbps,8664 kB/s
152.70.86.93,443,152.70.86.93,JP,Osaka,中转,238 ms,29 Mbps,3793 kB/s
158.178.227.99,443,158.178.227.99,SG,Singapore,中转,238 ms,25 Mbps,3289 kB/s
144.21.59.193,443,2a0b:21c0:100a:1fa:0:ba35:f513:e31c,DE,Frankfurt,隧道,377 ms,9 Mbps,1191 kB/s
132.226.200.50,443,163.123.193.23,DE,Frankfurt,隧道,290 ms,48 Mbps,6145 kB/s
130.162.36.165,443,2a0b:21c0:1007:1ca:0:53a6:e366:40ef,DE,Frankfurt,隧道,249 ms,4 Mbps,593 kB/s
141.147.113.98,443,2606:f240:f00:dd8d:0:7a8:c49a:2cad,US,Frankfurt,隧道,285 ms,41 Mbps,5317 kB/s
141.144.193.81,443,98.98.156.34,AE,Frankfurt,隧道,260 ms,46 Mbps,5923 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,256 ms,31 Mbps,4044 kB/s
143.47.180.46,443,2606:f240:f00:eaf1:0:40ff:44ed:1030,US,Frankfurt,隧道,250 ms,36 Mbps,4732 kB/s
158.178.144.69,443,2606:f240:f00:b2ed:0:7f61:16a5:8fd7,US,Frankfurt,隧道,253 ms,31 Mbps,4065 kB/s
152.67.149.16,443,163.123.193.23,DE,Frankfurt,隧道,298 ms,40 Mbps,5234 kB/s
141.148.230.212,443,2a0b:21c0:100a:1fa:0:21fa:eafa:8420,DE,Frankfurt,隧道,281 ms,35 Mbps,4590 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,271 ms,4 Mbps,519 kB/s
217.142.131.0,443,2602:ffe4:407:20d9:0:e8b1:1ef3:f4c7,SG,Singapore,隧道,243 ms,46 Mbps,5911 kB/s
168.138.201.0,443,168.138.201.0,JP,Tokyo,中转,247 ms,26 Mbps,3393 kB/s
130.162.177.251,443,98.98.156.22,AE,Frankfurt,隧道,257 ms,54 Mbps,6989 kB/s
138.3.222.33,443,138.3.222.33,JP,Tokyo,中转,231 ms,10 Mbps,1362 kB/s
143.47.189.167,443,2a0b:21c0:100a:1fa:0:5b2e:d3dc:5199,DE,Frankfurt,隧道,346 ms,50 Mbps,6446 kB/s
130.162.162.3,443,2a0b:21c0:1007:c9:0:da9:76bc:ff5e,DE,Frankfurt,隧道,254 ms,33 Mbps,4336 kB/s
130.162.174.238,443,2a0b:21c0:100a:1b0:0:8475:9f77:187a,DE,Frankfurt,隧道,260 ms,41 Mbps,5276 kB/s
152.70.57.230,443,2a0b:21c0:1007:1c7:0:1e4d:5f6c:e98b,DE,Frankfurt,隧道,252 ms,45 Mbps,5797 kB/s
89.168.68.179,443,2a0b:21c0:1007:cb:0:4fe8:a93e:b255,DE,Frankfurt,隧道,259 ms,42 Mbps,5480 kB/s
158.101.221.74,443,2606:f240:f00:5a42:0:b30d:3344:a763,US,Frankfurt,隧道,256 ms,37 Mbps,4744 kB/s
129.159.198.35,443,2a0b:21c0:1007:1cb:0:f005:57e4:f7d1,DE,Frankfurt,隧道,357 ms,36 Mbps,4678 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,188 ms,80 Mbps,10342 kB/s
130.162.231.49,443,2a0b:21c0:1007:c7:0:f905:c298:d33,DE,Frankfurt,隧道,244 ms,43 Mbps,5594 kB/s
84.235.173.80,443,2a0b:21c0:100a:1b5:0:482b:d650:3a5a,DE,Frankfurt,隧道,262 ms,15 Mbps,1954 kB/s
130.162.149.30,443,2602:ffe4:407:20d9:0:9c94:4676:a98e,SG,Singapore,隧道,245 ms,19 Mbps,2549 kB/s
150.230.202.10,443,2602:ffe4:407:20da:0:2314:4576:17d0,SG,Singapore,隧道,135 ms,87 Mbps,11161 kB/s
144.21.50.100,443,2606:f240:f00:5a42:0:52fe:63a7:39e1,US,Frankfurt,隧道,248 ms,43 Mbps,5564 kB/s
141.144.204.234,443,2606:f240:f00:46c4:0:df18:2cda:21a9,US,Frankfurt,隧道,336 ms,17 Mbps,2264 kB/s
130.162.162.23,443,2606:f240:f00:46c4:0:72e9:6093:98fd,US,Frankfurt,隧道,248 ms,42 Mbps,5496 kB/s
84.235.166.120,443,2606:f240:f00:b2ed:0:9704:6161:bdb4,US,Frankfurt,隧道,250 ms,40 Mbps,5131 kB/s
158.101.206.163,443,2a0b:21c0:100a:1b0:0:a71d:52e5:a7ab,DE,Frankfurt,隧道,326 ms,6 Mbps,840 kB/s
130.162.164.25,443,98.98.166.170,AE,Frankfurt,隧道,382 ms,30 Mbps,3883 kB/s
152.67.219.40,443,2602:ffe4:407:20da:0:1998:d65d:6991,SG,Singapore,隧道,152 ms,130 Mbps,16691 kB/s
152.70.56.90,443,2a0b:21c0:100a:1b4:0:aa09:daeb:a938,DE,Frankfurt,隧道,391 ms,24 Mbps,3080 kB/s
130.61.83.37,443,130.61.83.37,DE,Frankfurt,中转,258 ms,22 Mbps,2941 kB/s
89.168.121.63,443,98.98.156.30,AE,Frankfurt,隧道,247 ms,12 Mbps,1602 kB/s
141.147.72.154,443,2606:f240:f00:2be4:0:cd4c:aa1f:e207,US,Frankfurt,隧道,251 ms,41 Mbps,5265 kB/s
155.248.196.218,443,2603:c024:c006:8388:3f90:28d4:eab7:6afc,US,San Jose,隧道,223 ms,46 Mbps,5898 kB/s
141.144.198.160,443,2606:f240:f00:5a42:0:d9ca:ae50:1c13,US,Frankfurt,隧道,221 ms,20 Mbps,2673 kB/s
141.148.229.124,443,163.123.193.10,DE,Frankfurt,隧道,256 ms,4 Mbps,636 kB/s
150.230.249.48,443,150.230.249.48,KR,Seoul,中转,258 ms,12 Mbps,1568 kB/s
89.168.68.2,443,98.98.166.182,AE,Frankfurt,隧道,262 ms,18 Mbps,2407 kB/s
158.180.35.98,443,2a0b:21c0:1007:1c9:0:2263:1cd0:8617,DE,Frankfurt,隧道,251 ms,4 Mbps,590 kB/s
141.144.228.52,443,2606:f240:f00:b2ed:0:588d:d001:0,US,Frankfurt,隧道,251 ms,12 Mbps,1549 kB/s
158.178.156.146,443,2606:f240:f00:83a7:0:bee1:761c:32cf,US,Frankfurt,隧道,306 ms,24 Mbps,3100 kB/s
