中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
143.47.234.97,443,2a0b:21c0:1007:c9:0:bb0e:5456:2486,DE,Frankfurt,隧道,253 ms,7 Mbps,989 kB/s
141.147.103.107,443,2606:f240:f00:46c4:0:9612:5bb:8a6a,US,Frankfurt,隧道,252 ms,53 Mbps,6874 kB/s
130.162.171.192,443,2a0b:21c0:1007:c8:0:a214:a6dc:2727,DE,Frankfurt,隧道,380 ms,11 Mbps,1408 kB/s
132.145.254.48,443,2a0b:21c0:1007:1c9:0:581d:6fde:f6ac,DE,Frankfurt,隧道,256 ms,52 Mbps,6694 kB/s
158.180.43.141,443,2a0b:21c0:100a:1b6:0:e538:27e3:2515,DE,Frankfurt,隧道,259 ms,48 Mbps,6262 kB/s
138.2.226.15,443,192.9.138.11,US,San Jose,隧道,217 ms,31 Mbps,4048 kB/s
146.56.157.119,443,2602:ffe4:407:20d9:0:c821:9e41:93af,SG,Singapore,隧道,378 ms,17 Mbps,2224 kB/s
84.8.159.220,443,2a0b:21c0:100a:1fa:0:5d8a:1e17:e3ef,DE,Frankfurt,隧道,259 ms,33 Mbps,4334 kB/s
130.61.193.148,443,2a0b:21c0:100a:1b7:0:10a9:e8d6:feec,DE,Frankfurt,隧道,307 ms,10 Mbps,1327 kB/s
131.186.63.4,443,2602:ffe4:407:20da:0:489d:fddf:8178,SG,Singapore,隧道,134 ms,74 Mbps,9525 kB/s
158.178.155.46,443,2606:f240:f00:5a42:0:dd2c:fc0d:bcb7,US,Frankfurt,隧道,371 ms,54 Mbps,7033 kB/s
144.21.40.32,443,2a0b:21c0:100a:1b2:0:6f99:8857:ed5b,DE,Frankfurt,隧道,267 ms,45 Mbps,5798 kB/s
129.154.48.212,443,2602:ffe4:407:20d9:0:1d46:593b:96cc,SG,Singapore,隧道,162 ms,112 Mbps,14438 kB/s
130.162.166.173,443,2a0b:21c0:100a:1f9:0:f35c:4828:ee95,DE,Frankfurt,隧道,294 ms,8 Mbps,1071 kB/s
152.70.60.29,443,2606:f240:f00:b2ed:0:3434:6cd3:9e30,US,Frankfurt,隧道,250 ms,9 Mbps,1161 kB/s
130.162.255.158,443,2a0b:21c0:100a:1b0:0:71d0:d80b:8f97,DE,Frankfurt,隧道,245 ms,40 Mbps,5179 kB/s
158.179.185.3,443,2602:ffe4:407:21d9:0:e064:4cd0:7e6f,SG,Singapore,隧道,153 ms,112 Mbps,14336 kB/s
138.3.222.135,443,138.3.222.135,JP,Tokyo,中转,244 ms,29 Mbps,3822 kB/s
138.2.18.184,443,138.2.18.184,JP,Tokyo,中转,255 ms,0 Mbps,82 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,243 ms,52 Mbps,6781 kB/s
144.24.243.207,443,144.24.243.207,CH,Milan,中转,385 ms,29 Mbps,3817 kB/s
141.147.87.252,443,98.98.166.174,AE,Frankfurt,隧道,248 ms,14 Mbps,1895 kB/s
141.147.61.231,443,2a0b:21c0:1007:1c8:0:1702:ffe8:5d37,DE,Frankfurt,隧道,262 ms,34 Mbps,4468 kB/s
130.162.185.9,443,2606:f240:f00:a683:0:9cc3:d3b7:95e3,US,Frankfurt,隧道,262 ms,15 Mbps,1998 kB/s
150.230.123.143,443,2a0b:21c0:1007:1cb:0:fa12:894:472e,DE,Frankfurt,隧道,267 ms,36 Mbps,4622 kB/s
130.162.237.219,443,2a0b:21c0:100a:1f9:0:b3c7:734f:453c,DE,Frankfurt,隧道,255 ms,47 Mbps,6131 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,249 ms,45 Mbps,5819 kB/s
140.238.120.211,443,2a0b:21c0:1007:ca:0:cce5:8f7d:8887,DE,Frankfurt,隧道,256 ms,39 Mbps,5100 kB/s
158.101.213.78,443,163.123.193.8,DE,Frankfurt,隧道,341 ms,49 Mbps,6273 kB/s
