中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
47.238.164.202,443,47.238.164.202,HK,Hong Kong,中转,49 ms,44 Mbps,5731 kB/s
47.242.57.106,443,47.76.109.172,HK,Hong Kong,隧道,81 ms,130 Mbps,16691 kB/s
47.76.178.146,443,47.76.178.146,HK,Hong Kong,中转,56 ms,154 Mbps,19763 kB/s
47.76.180.193,443,47.242.225.210,HK,Hong Kong,隧道,51 ms,105 Mbps,13516 kB/s
47.238.245.170,443,47.238.245.170,HK,Hong Kong,中转,52 ms,32 Mbps,4184 kB/s
8.218.63.172,443,8.218.63.172,HK,Hong Kong,中转,53 ms,6 Mbps,789 kB/s
8.211.3.120,443,2606:f240:f00:46c4:0:7935:590c:ba38,US,Frankfurt,隧道,194 ms,17 Mbps,2192 kB/s
8.211.17.102,443,2606:f240:f00:5a42:0:896d:5ec4:5dfd,US,Frankfurt,隧道,202 ms,2 Mbps,358 kB/s
8.222.181.139,443,8.222.175.6,SG,Singapore,隧道,241 ms,0 Mbps,30 kB/s
47.236.117.48,443,47.236.117.48,SG,Singapore,中转,293 ms,1 Mbps,169 kB/s
47.254.131.86,443,2a0b:21c0:100a:1b0:0:35b6:a1ad:fec9,DE,Frankfurt,隧道,192 ms,14 Mbps,1880 kB/s
47.238.235.163,443,47.238.235.163,HK,Hong Kong,中转,1062 ms,2 Mbps,362 kB/s
8.217.132.184,443,8.217.132.184,HK,Hong Kong,中转,1070 ms,6 Mbps,878 kB/s
8.209.104.191,443,2a0b:21c0:100a:1f9:0:f3e7:ab05:6ad3,DE,Frankfurt,隧道,196 ms,11 Mbps,1478 kB/s
8.209.101.109,443,2a0b:21c0:100a:1b2:0:8e42:7d6d:7a67,DE,Frankfurt,隧道,1335 ms,15 Mbps,2040 kB/s
47.236.164.215,443,47.236.164.215,SG,Singapore,中转,1330 ms,3 Mbps,420 kB/s
47.89.191.155,443,47.89.191.155,US,Ashburn,中转,1270 ms,0 Mbps,115 kB/s
8.209.97.59,443,2606:f240:f00:dd8d:0:d86:1b6e:98e,US,Frankfurt,隧道,1204 ms,3 Mbps,423 kB/s
47.251.74.226,443,91.149.239.70,US,Los Angeles,隧道,1255 ms,0 Mbps,36 kB/s
47.57.245.232,443,47.88.1.44,US,San Jose,隧道,53 ms,1 Mbps,134 kB/s
47.242.68.32,443,47.242.68.32,HK,Hong Kong,中转,48 ms,0 Mbps,62 kB/s
8.209.118.30,443,2606:f240:f00:83a7:0:c0cf:1706:25c2,US,Frankfurt,隧道,310 ms,32 Mbps,4129 kB/s
47.236.146.249,443,47.236.146.249,SG,Singapore,中转,291 ms,0 Mbps,95 kB/s
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,146 ms,3 Mbps,398 kB/s
8.210.9.129,443,8.210.9.129,HK,Hong Kong,中转,52 ms,124 Mbps,15974 kB/s
47.254.131.65,443,98.98.156.30,AE,Frankfurt,隧道,197 ms,17 Mbps,2274 kB/s
47.254.130.245,443,163.123.193.6,DE,Frankfurt,隧道,194 ms,1 Mbps,193 kB/s
47.90.201.189,443,47.90.201.189,US,Ashburn,中转,274 ms,0 Mbps,9 kB/s
47.90.141.204,443,91.149.239.70,US,Los Angeles,隧道,264 ms,2 Mbps,354 kB/s
